INFO [2024-09-09 18:02:08] [MAIN] - Creating clusters_ren__2024_09_09_18_02_08 study...

INFO [2024-09-09 18:02:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:02:08] [MAIN] - Adding nodes...

INFO [2024-09-09 18:02:09] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:02:09] [MAIN] - Done adding nodes! (run time : 0.99s).

INFO [2024-09-09 18:02:09] [MAIN] - Adding districts...

INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_oil_centraleturbin14457 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_oil_centraleturbin14456 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mar_oil_centraltermiqu14450 generator to af-mar node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_gas_toliarytulear14091 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_gas_tamatave14090 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_coa_ambatovy14082 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_coa_capacityscaler generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_oil_majunga14087 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_oil_ambohimanambola14083 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_oil_mandroseza14088 generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mdg_oil_capacityscaler generator to af-mdg node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mrt_gas_nouadhibou14153 generator to af-mrt node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mrt_oil_zouerate14157 generator to af-mrt node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mrt_oil_nouakchottthe14155 generator to af-mrt node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mrt_oil_guelbselrhein14152 generator to af-mrt node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_coa_unionstaubin14176 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_coa_ctdspowerstat14162 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_coa_bellevuepower14160 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_coa_savannahestate14173 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_bio_monloisir14170 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_bio_medinemill14169_montresor14171 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_bio_deepriver14163 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_bio_fuel14168 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_bio_capacityscaler generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_oil_fortvictoria14166 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_oil_stlouis14174 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_oil_nicolay14172 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_oil_fortgeorge14165 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mus_oil_fortwilliamce14167 generator to af-mus node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mwi_gas_chichiriblant14093 generator to af-mwi node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add mwi_bio_nchalomill14095 generator to af-mwi node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nam_coa_vaneck14528 generator to af-nam node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nam_oil_langerheinrich14522 generator to af-nam node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nam_oil_anixas14521 generator to af-nam node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nam_oil_paratuswalvis14526 generator to af-nam node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ner_coa_anouararenmin14657 generator to af-ner node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ner_oil_dakoutamine14659 generator to af-ner node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ner_oil_arlitmine14658_goudel14660 generator to af-ner node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ner_oil_niamey14661 generator to af-ner node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add ner_oil_soraz14662 generator to af-ner node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_omoku14671 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_ibompower14666 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_gbarain14665_ihovbor14667_sapele14673 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_omotoshoii14672 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_calabar14664 generator to af-nga node, skipping...
INFO [2024-09-09 18:02:23] [WARN] - Failed to add nga_gas_alaoji14663 generator to af-nga node, skipping...
