Node,Continent,Country,Geographical.region,lat,lon,coordinates_source
EU-AUT,Europe,Austria,Austria,47.5857571625,14.1305444711,ILO
EU-AZE,Europe,Azerbaijan,Azerbaijan,40.2891791299,47.5425498534,ILO
EU-BEL,Europe,Belgium,Belgium,50.6375465936,4.63966996313,ILO
EU-BGR,Europe,Bulgaria,Bulgaria,42.7684902365,25.2177412805,ILO
EU-BIH,Europe,Bosnia and Herzegovina,Bosnia and Herzegovina,44.1715041395,17.7734052675,ILO
EU-BLR,Europe,Belarus,Belarus,53.5316917941,28.0333167556,ILO
EU-CHE,Europe,Switzerland,Switzerland,46.7990859221,8.21591266153,ILO
EU-CYP,Europe,Cyprus,Cyprus,34.9152999848,32.9902425308,ILO
EU-CZE,Europe,Czech Republic,Czech Republic,49.7324459146,15.3140847769,ILO
EU-DEU,Europe,Germany,Germany,51.1062734358,10.3817108727,ILO
EU-DNK,Europe,Denmark,Denmark,55.9659213307,10.0502290036,ILO
EU-ESP,Europe,Spain,Spain,40.2274328729,-3.65226540732,ILO
EU-EST,Europe,Estonia,Estonia,58.6709781603,25.5366060242,ILO
EU-FIN,Europe,Finland,Finland,64.496025362,26.2713520963,ILO
EU-FRA,Europe,France,France,42.1820291785,-2.75442214946,ILO
EU-GBR,Europe,United Kingdom,United Kingdom,54.1454903122,-2.88594273633,ILO
EU-GEO,Europe,Georgia,Georgia,42.1690379193,43.5070595604,ILO
EU-GRC,Europe,Greece,Greece,39.0516315876,22.9734385798,ILO
EU-HRV,Europe,Croatia,Croatia,45.0684270744,16.3978320054,ILO
EU-HUN,Europe,Hungary,Hungary,47.1631484858,19.3963546422,ILO
EU-IRL,Europe,Ireland,Ireland,53.177727454,-8.14541782157,ILO
EU-ISL,Europe,Iceland,Iceland,64.9981164128,-18.5967761911,ILO
EU-ITA,Europe,Italy,Italy,42.7864450125,12.0723891753,ILO
EU-KOS,Europe,Kosovo,Kosovo,42.5725834961,20.8735741478,ILO
EU-LTU,Europe,Lithuania,Lithuania,55.3270297547,23.8885032451,ILO
EU-LUX,Europe,Luxembourg,Luxembourg,49.7668555991,6.07223192937,ILO
EU-LVA,Europe,Latvia,Latvia,56.8520035624,24.9079168191,ILO
EU-MDA,Europe,Moldova,Moldova,NA,NA,ILO
EU-MKD,Europe,Macedonia,Macedonia,NA,NA,ILO
EU-MNE,Europe,Montenegro,Montenegro,42.785696291,19.23871376,ILO
EU-NLD,Europe,Netherlands,Netherlands,52.0724168637,5.22159177132,ILO
EU-NOR,Europe,Norway,Norway,68.7958281693,15.4107026868,ILO
EU-POL,Europe,Poland,Poland,52.1248371866,19.3943576278,ILO
EU-PRT,Europe,Portugal,Portugal,39.5879315668,-8.58679773073,ILO
EU-ROU,Europe,Romania,Romania,45.8534292955,24.9730878059,ILO
EU-SRB,Europe,Serbia,Serbia,44.221300008,20.7902937118,ILO
EU-SVK,Europe,Slovakia,Slovakia,48.7050534694,19.4806052302,ILO
EU-SVN,Europe,Slovenia,Slovenia,46.1161834406,14.8077251029,ILO
EU-SWE,Europe,Sweden,Sweden,62.777378402,16.7542843545,ILO
EU-UKR,Europe,Ukraine,Ukraine,48.9972191079,31.386059716,ILO
NA-CAN-AB,North America,Canada,Alberta,61.3765600742,-98.2945373672,ILO
NA-CAN-AR,North America,Canada,Atlantic region,61.3765600742,-98.2945373672,ILO
NA-CAN-BC,North America,Canada,British Columbia,61.3765600742,-98.2945373672,ILO
NA-CAN-MB,North America,Canada,Manitoba,61.3765600742,-98.2945373672,ILO
NA-CAN-NL,North America,Canada,Newfoundland & Labrador,61.3765600742,-98.2945373672,ILO
NA-CAN-NO,North America,Canada,Northern Provinces,61.3765600742,-98.2945373672,ILO
