Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
NA-BLZ;North America;Belize;Belize;ILO;17.2076202853;-88.6947664472;ILO
NA-CAN-AB;North America;Canada;Alberta;Brinkerink & Deane 2015;55.001251;-115.002136;OSM (Nominatim)
NA-CAN-AR;North America;Canada;Atlantic region;Brinkerink & Deane 2015;46.500283;-66.750183;"OSM ""New Brunswick"""
NA-CAN-BC;North America;Canada;British Columbia;Brinkerink & Deane 2015;55.001251;-125.002441;OSM (Nominatim)
NA-CAN-MB;North America;Canada;Manitoba;Brinkerink & Deane 2015;55.001251;-97.001038;OSM (Nominatim)
NA-CAN-NL;North America;Canada;Newfoundland & Labrador;Brinkerink & Deane 2015;53.8217327;-61.2295532;OSM (Nominatim)
NA-CAN-NO;North America;Canada;Northern Provinces;Brinkerink & Deane 2015;65.0000004;-118;"OSM ""Northwest Territories"""
NA-CAN-ON;North America;Canada;Ontario;Brinkerink & Deane 2015;50.000678;-86.000977;OSM (Nominatim)
NA-CAN-QC;North America;Canada;Quebec;Brinkerink & Deane 2015;52.4760892;-71.8258668;OSM (Nominatim)
NA-CAN-SK;North America;Canada;Saskatchewan;Brinkerink & Deane 2015;55.5321257;-106.141224;OSM (Nominatim)
NA-CRI;North America;Costa Rica;Costa Rica;Brinkerink & Deane 2015;9.97332729645;-84.193292649;ILO
NA-CUB;North America;Cuba;Cuba;Brinkerink & Deane 2015;21.62531027;-79.03529044;ILO
NA-DOM;North America;Dominican Republic;Dominican Republic;Brinkerink & Deane 2015;18.8960527207;-70.4965672754;ILO
NA-GTM;North America;Guatemala;Guatemala;Brinkerink & Deane 2015;15.6959794459;-90.3597132732;ILO
NA-HND;North America;Honduras;Honduras;Brinkerink & Deane 2015;14.8207817676;-86.6254207576;ILO
NA-HTI;North America;Haiti;Haiti;ILO;18.9384526075;-72.6903857021;ILO
NA-JAM;North America;Jamaica;Jamaica;Brinkerink & Deane 2015;18.1551953465;-77.3189142295;ILO
NA-MEX;North America;Mexico;Mexico;Brinkerink & Deane 2015;23.9489236523;-102.53036366;ILO
NA-NIC;North America;Nicaragua;Nicaragua;Brinkerink & Deane 2015;12.8454113402;-85.0334031776;ILO
NA-PAN;North America;Panama;Panama;Brinkerink & Deane 2015;8.51447641709;-80.1212207136;ILO
