INFO [2024-08-14 16:32:52] [NODES] - Adding OC-AUS-SW node...
INFO [2024-08-14 16:32:53] [NODES] - Adding OC-AUS-TA node...
INFO [2024-08-14 16:32:55] [NODES] - Adding OC-AUS-VI node...
INFO [2024-08-14 16:32:56] [NODES] - Adding OC-AUS-WA node...
INFO [2024-08-14 16:32:58] [NODES] - Adding OC-FJI node...
INFO [2024-08-14 16:32:59] [NODES] - Adding OC-NZL node...
INFO [2024-08-14 16:33:01] [NODES] - Adding OC-PNG node...
INFO [2024-08-14 16:33:02] [NODES] - Adding NA-CAN-AB node...
INFO [2024-08-14 16:33:03] [NODES] - Adding NA-CAN-AR node...
INFO [2024-08-14 16:33:05] [NODES] - Adding NA-CAN-BC node...
INFO [2024-08-14 16:33:06] [NODES] - Adding NA-CAN-MB node...
INFO [2024-08-14 16:33:08] [NODES] - Adding NA-CAN-NL node...
INFO [2024-08-14 16:33:09] [NODES] - Adding NA-CAN-NO node...
INFO [2024-08-14 16:33:10] [NODES] - Adding NA-CAN-ON node...
INFO [2024-08-14 16:33:12] [NODES] - Adding NA-CAN-QC node...
INFO [2024-08-14 16:33:13] [NODES] - Adding NA-CAN-SK node...
INFO [2024-08-14 16:33:14] [NODES] - Adding NA-CRI node...
INFO [2024-08-14 16:33:16] [NODES] - Adding NA-CUB node...
INFO [2024-08-14 16:33:17] [NODES] - Adding NA-DOM node...
INFO [2024-08-14 16:33:19] [NODES] - Adding NA-GTM node...
INFO [2024-08-14 16:33:21] [NODES] - Adding NA-HND node...
INFO [2024-08-14 16:33:22] [NODES] - Adding NA-JAM node...
INFO [2024-08-14 16:33:24] [NODES] - Adding NA-MEX node...
INFO [2024-08-14 16:33:25] [NODES] - Adding NA-NIC node...
INFO [2024-08-14 16:33:26] [NODES] - Adding NA-PAN node...
INFO [2024-08-14 16:33:27] [NODES] - Adding NA-SLV node...
INFO [2024-08-14 16:33:29] [NODES] - Adding NA-TTO node...
INFO [2024-08-14 16:33:30] [NODES] - Adding NA-USA-AK node...
INFO [2024-08-14 16:33:32] [NODES] - Adding NA-USA-AZ node...
INFO [2024-08-14 16:33:33] [NODES] - Adding NA-USA-CA node...
INFO [2024-08-14 16:33:34] [NODES] - Adding NA-USA-ER node...
INFO [2024-08-14 16:33:35] [NODES] - Adding NA-USA-FR node...
INFO [2024-08-14 16:33:37] [NODES] - Adding NA-USA-GU node...
INFO [2024-08-14 16:33:38] [NODES] - Adding NA-USA-HA node...
